Table F - Income from Tuition Fees and Education Grants and Contracts 2000/01,,,,,,,
,,,,,,,£ Thousands
,,,,,,,% of total
,,,,,,,
,,,,,,,
HE course fees,,,,,,,
,Full-time UK & EC domiciled students charged standard fees,,,,,1199796,39.36%
,Full-time UK & EC domiciled students charged non-standard fees,,,,,434312,14.25%
,Part-time HE course fees,,,,,379540,12.45%
,Overseas (Non EC),,,,,746366,24.48%
,Sub-total HE course fees,,,,,2760014,90.53%
,,,,,,,
Non-credit-bearing course fees,,,,,,236782,7.77%
FE course fees,,,,,,26416,0.87%
Research training support grants,,,,,,25367,0.83%
,,,,,,,
Total tuition fees & education grants & contracts,,,,,,3048579,100.00%
,,,,,,,

Copyright © Higher Education Statistics Agency Limited 2002,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,


,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
