Table G - Income from Research Grants and Contracts 2000/01,,
,,£ Thousands
,,% of total
,,
,,
OST research councils,695157,31.49%
UK based charities,554901,25.14%
"UK central government bodies, local authorities, health & hospital authorities",372866,16.89%
"UK industry, commerce & public corps",258872,11.73%
EU government bodies,137953,6.25%
EU other,32244,1.46%
Other overseas,112280,5.09%
Other sources,42955,1.95%
,,
Total research grants & contracts,2207228,100.00%
,,

Copyright © Higher Education Statistics Agency Limited 2002














,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
