Table J - Distribution of Expenditure by Functional Area 2000/01,,
,,£ Thousands
,,% of total
,,
,,
Academic departments,5680920,41.94%
Academic services,983106,7.26%
Administrative & central services,1702665,12.57%
Premises,1406396,10.38%
Residences & catering operations,885582,6.54%
Research grants & contracts,1925339,14.21%
Other expenditure,960475,7.09%
,,
Total expenditure,13544483,100.00%
,,

Copyright © Higher Education Statistics Agency Limited 2002,,


,,
,,
,,
,,
,,
,,
,,
,,
