"Table N - Full-time Academic Staff in all UK Institutions by Principal Source of Salary, Grade(#9) and Gender 2000/01",,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
,,Principal Source of Salary,,,,,,,,,,,,,
,,Wholly institutionally financed,All other sources of finance,Total,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Professors,,11480,1055,12530,,,,,,,,,,,
,Female,1415,160,1575,,,,,,,,,,,
,Male,10065,895,10960,,,,,,,,,,,
Senior lecturers & researchers,,19750,2355,22105,,,,,,,,,,,
,Female,4615,750,5370,,,,,,,,,,,
,Male,15135,1605,16740,,,,,,,,,,,
Lecturers,,37620,4335,41955,,,,,,,,,,,
,Female,13895,2000,15895,,,,,,,,,,,
,Male,23725,2330,26055,,,,,,,,,,,
Researchers,,6670,25775,32445,,,,,,,,,,,
,Female,2565,10615,13185,,,,,,,,,,,,
,Male,4105,15160,19265,,,,,,,,,,,,
Other grades,,4915,2450,7370,,,,,,,,,,,,
,Female,1920,1050,2965,,,,,,,,,,,,
,Male,2995,1405,4400,,,,,,,,,,,,
Total,,80435,35970,116405,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Limited 2002,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
